Date : 2023-01-15 21:00:07
Directory : c:\repos\LinkinPark
Total : 244 files,  33665 codes, 734 comments, 2447 blanks, all 36846 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\repos\LinkinPark\src\app\playa\playa-form\playa-form.component.ts                                       | TypeScript         |        333 |          9 |         34 |        376 |
| c:\repos\LinkinPark\src\app\playa\playa-view\playa-view.component.html                                     | HTML               |         37 |          1 |          2 |         40 |
| c:\repos\LinkinPark\src\app\playa\playa-view\playa-view.component.scss                                     | SCSS               |         13 |          0 |          1 |         14 |
| c:\repos\LinkinPark\src\app\playa\playa-view\playa-view.component.spec.ts                                  | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\playa\playa-view\playa-view.component.ts                                       | TypeScript         |         52 |          2 |         16 |         70 |
| c:\repos\LinkinPark\src\app\playa\readme.md                                                                | Markdown           |         10 |          0 |          0 |         10 |
| c:\repos\LinkinPark\src\app\scanner\scanner.component.html                                                 | HTML               |          6 |          0 |          2 |          8 |
| c:\repos\LinkinPark\src\app\scanner\scanner.component.scss                                                 | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\scanner\scanner.component.spec.ts                                              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\scanner\scanner.component.ts                                                   | TypeScript         |         17 |          0 |          5 |         22 |
| c:\repos\LinkinPark\src\app\servicios\Fechas\calculo-fechas.service.spec.ts                                | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\Fechas\calculo-fechas.service.ts                                     | TypeScript         |         35 |          8 |         23 |         66 |
| c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\custom-adapter.service.spec.ts                     | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\custom-adapter.service.ts                          | TypeScript         |         22 |          0 |          5 |         27 |
| c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\custom-date-parser-formatter.service.spec.ts       | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\custom-date-parser-formatter.service.ts            | TypeScript         |         22 |          0 |          4 |         26 |
| c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\ngb-time-string-adapter.service.spec.ts            | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\ngb-time-string-adapter.service.ts                 | TypeScript         |         22 |          0 |          5 |         27 |
| c:\repos\LinkinPark\src\app\servicios\abono\abono.service.spec.ts                                          | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\abono\abono.service.ts                                               | TypeScript         |         60 |          7 |         26 |         93 |
| c:\repos\LinkinPark\src\app\servicios\autentificacion\auth.service.spec.ts                                 | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\autentificacion\auth.service.ts                                      | TypeScript         |        119 |         20 |         33 |        172 |
| c:\repos\LinkinPark\src\app\servicios\caja\caja-storage.md                                                 | Markdown           |          7 |          0 |          7 |         14 |
| c:\repos\LinkinPark\src\app\servicios\caja\caja-storage.service.spec.ts                                    | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\caja\caja-storage.service.ts                                         | TypeScript         |         87 |         10 |         21 |        118 |
| c:\repos\LinkinPark\src\app\servicios\caja\estado-caja.md                                                  | Markdown           |         22 |          0 |         20 |         42 |
| c:\repos\LinkinPark\src\app\servicios\caja\estado-caja.service.spec.ts                                     | TypeScript         |         12 |          0 |          6 |         18 |
| c:\repos\LinkinPark\src\app\servicios\caja\estado-caja.service.ts                                          | TypeScript         |         87 |         29 |         23 |        139 |
| c:\repos\LinkinPark\src\app\servicios\clientes.service.spec.ts                                             | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\clientes.service.ts                                                  | TypeScript         |         37 |          4 |          8 |         49 |
| c:\repos\LinkinPark\src\app\servicios\database\db-firestore.service.spec.ts                                | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\database\db-firestore.service.ts                                     | TypeScript         |         92 |         10 |         19 |        121 |
| c:\repos\LinkinPark\src\app\servicios\facturacion\consultaFacturacion\consulta-facturacion.service.spec.ts | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\facturacion\consultaFacturacion\consulta-facturacion.service.ts      | TypeScript         |         43 |         11 |         23 |         77 |
| c:\repos\LinkinPark\src\app\servicios\facturacion\estadia.service.spec.ts                                  | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\facturacion\estadia.service.ts                                       | TypeScript         |         92 |          9 |         38 |        139 |
| c:\repos\LinkinPark\src\app\servicios\filter.pipe.spec.ts                                                  | TypeScript         |          7 |          0 |          2 |          9 |
| c:\repos\LinkinPark\src\app\servicios\filter.pipe.ts                                                       | TypeScript         |         15 |          0 |          3 |         18 |
| c:\repos\LinkinPark\src\app\servicios\log.service.ts                                                       | TypeScript         |         28 |          0 |         13 |         41 |
| c:\repos\LinkinPark\src\app\servicios\patentes\validar-patente.service.spec.ts                             | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\patentes\validar-patente.service.ts                                  | TypeScript         |         60 |          8 |         12 |         80 |
| c:\repos\LinkinPark\src\app\servicios\storage\storage.service.spec.ts                                      | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\storage\storage.service.ts                                           | TypeScript         |        116 |         24 |         38 |        178 |
| c:\repos\LinkinPark\src\app\servicios\storage\vehiculos-storage.service.spec.ts                            | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\servicios\storage\vehiculos-storage.service.ts                                 | TypeScript         |         64 |          8 |         21 |         93 |
| c:\repos\LinkinPark\src\app\shared\DTLanguage.ts                                                           | TypeScript         |         24 |          0 |          0 |         24 |
| c:\repos\LinkinPark\src\app\shared\btn-agregar\btn-agregar.component.spec.ts                               | TypeScript         |         20 |          0 |          6 |         26 |
| c:\repos\LinkinPark\src\app\shared\btn-agregar\btn-agregar.component.ts                                    | TypeScript         |         30 |          0 |          5 |         35 |
| c:\repos\LinkinPark\src\app\shared\btn-consultar\btn-consultar.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\shared\btn-consultar\btn-consultar.component.ts                                | TypeScript         |         42 |          0 |          5 |         47 |
| c:\repos\LinkinPark\src\app\shared\btn-editar\btn-editar.component.spec.ts                                 | TypeScript         |         19 |          0 |          6 |         25 |
| c:\repos\LinkinPark\src\app\shared\btn-editar\btn-editar.component.ts                                      | TypeScript         |         38 |          0 |          5 |         43 |
| c:\repos\LinkinPark\src\app\shared\btn-eliminar\btn-eliminar.component.spec.ts                             | TypeScript         |         19 |          0 |          6 |         25 |
| c:\repos\LinkinPark\src\app\shared\btn-eliminar\btn-eliminar.component.ts                                  | TypeScript         |         34 |          0 |          7 |         41 |
| c:\repos\LinkinPark\src\app\shared\btn-reimpresion\btn-reimpresion.component.spec.ts                       | TypeScript         |         17 |          0 |          6 |         23 |
| c:\repos\LinkinPark\src\app\shared\btn-reimpresion\btn-reimpresion.component.ts                            | TypeScript         |         28 |          0 |          4 |         32 |
| c:\repos\LinkinPark\src\app\spinner\spinner.component.html                                                 | HTML               |          8 |          0 |          1 |          9 |
| c:\repos\LinkinPark\src\app\spinner\spinner.component.scss                                                 | SCSS               |         33 |          0 |          2 |         35 |
| c:\repos\LinkinPark\src\app\spinner\spinner.component.spec.ts                                              | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\spinner\spinner.component.ts                                                   | TypeScript         |         11 |          0 |          5 |         16 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-control\tarifas-control.component.scss                         | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-control\tarifas-control.component.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-control\tarifas-control.component.ts                           | TypeScript         |         66 |          1 |         23 |         90 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-form\tarifas-form.component.html                               | HTML               |         80 |         14 |         10 |        104 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-form\tarifas-form.component.scss                               | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-form\tarifas-form.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-form\tarifas-form.component.ts                                 | TypeScript         |        177 |         22 |         25 |        224 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-view\tarifas-view.component.html                               | HTML               |         40 |          1 |          6 |         47 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-view\tarifas-view.component.scss                               | SCSS               |         16 |          0 |          2 |         18 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-view\tarifas-view.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\tarifas\tarifas-view\tarifas-view.component.ts                                 | TypeScript         |         53 |          1 |         12 |         66 |
| c:\repos\LinkinPark\src\app\ticket-entrada\ticket-entrada.component.html                                   | HTML               |         77 |         15 |          8 |        100 |
| c:\repos\LinkinPark\src\app\ticket-entrada\ticket-entrada.component.scss                                   | SCSS               |        235 |          2 |         51 |        288 |
| c:\repos\LinkinPark\src\app\ticket-entrada\ticket-entrada.component.spec.ts                                | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\ticket-entrada\ticket-entrada.component.ts                                     | TypeScript         |         69 |         30 |         21 |        120 |
| c:\repos\LinkinPark\src\environments\environment.prod.ts                                                   | TypeScript         |         13 |          0 |          1 |         14 |
| c:\repos\LinkinPark\src\environments\environment.ts                                                        | TypeScript         |         13 |         11 |          4 |         28 |
| c:\repos\LinkinPark\src\index.html                                                                         | HTML               |         16 |          0 |          1 |         17 |
| c:\repos\LinkinPark\src\main.ts                                                                            | TypeScript         |          9 |          0 |          4 |         13 |
| c:\repos\LinkinPark\src\polyfills.ts                                                                       | TypeScript         |          2 |         50 |          6 |         58 |
| c:\repos\LinkinPark\src\styles.css                                                                         | CSS                |          1 |          1 |          4 |          6 |
| c:\repos\LinkinPark\src\styles.scss                                                                        | SCSS               |         12 |          2 |          8 |         22 |
| c:\repos\LinkinPark\src\test.ts                                                                            | TypeScript         |         18 |          4 |          5 |         27 |
| c:\repos\LinkinPark\tsconfig.app.json                                                                      | JSON               |         14 |          1 |          1 |         16 |
| c:\repos\LinkinPark\tsconfig.json                                                                          | JSON with Comments |         32 |          1 |          1 |         34 |
| c:\repos\LinkinPark\tsconfig.spec.json                                                                     | JSON               |         17 |          1 |          1 |         19 |
| Total                                                                                                      |                    |     33,665 |        734 |      2,447 |     36,846 |
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
